name;description;website;image_url;source_page;market;type;Location;Greater Stockholm Y/N
Lucero;Lucero ger varje biolog i världen verktygen för att manipulera och analysera enskilda celler. Företaget utvecklar avancerad teknologi för single-cell analys som möjliggör djupare förståelse av cellbiologi och sjukdomsmekanismer. Genom att demokratisera tillgången till verktyg för single-cell manipulation öppnar Lucero upp nya möjligheter för forskning inom biomedicin, läkemedelsutveckling och personlig medicin. Teknologin är särskilt värdefull för forskare som arbetar med komplex cellbiologi där förståelse på enskild cellnivå är avgörande.;https://lucerobio.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472289/recuLr3ITSH8kqryE.webp;https://www.ai-startups-europe.eu/p11?country%5B%5D=4000642;B2B, pharmaceutical, biotechnology;deep tech;Göteborg, Sweden;No
Monava AB;Monava övervakar naturkatastrofer i alpina miljöer med mottot 'seeing sound - air, ground, water'. Företaget utvecklar AI-baserade lösningar för att detektera och övervaka naturhazarder som laviner, jordskred och andra geofysiska händelser i bergsområden. Genom att kombinera sensorteknologi med avancerad dataanalys och AI kan Monava ge tidig varning och bättre förståelse för naturkatastrofer, vilket bidrar till ökad säkerhet för människor och infrastruktur i alpina regioner.;https://monava.io;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471974/rechXnWQSjeAbO9HN.webp;https://www.ai-startups-europe.eu/p13?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, iot internetofthings;Göteborg, Sweden;No
OneTwo Analytics AB;OneTwo Analytics erbjuder AI/ML-baserade tjänster för att förbättra diabetesvård. Företaget utvecklar lösningar som hjälper både patienter och vårdpersonal att bättre förstå och hantera diabetes genom dataanalys och maskininlärning. OneTwo Analytics fokuserar på att använda patientdata för att ge personaliserade insikter och rekommendationer som kan förbättra behandlingsresultat och livskvalitet för personer med diabetes. Lösningarna är särskilt värdefulla för att optimera insulinbehandling och förebygga komplikationer.;https://www.onetwo-analytics.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4470913/rec0kxESANtKPa5Fp.webp;https://www.ai-startups-europe.eu/p14?country%5B%5D=4000642;B2B, B2C, health;artificial intelligence, machine learning;Göteborg, Sweden;No
Parametric Solutions AB;Parametric Solutions genererar hundratals byggkoncept på sekunder med hjälp av algoritmer. Företaget har utvecklat Hektar, ett augmented drafting-verktyg för tidigt stadsplaneringsarbete som effektiviserar designprocessen genom att hantera komplexitet och automatisera monotona, tidskrävande uppgifter, vilket ger arkitekter mer tid för design. Stadsplanering är notoriskt utmanande och omfattar flera skalor från mikro till makro, där korsreferenser av alla möjliga val och utfall snabbt blir överväldigande. Hektar ger en omfattande översikt av alternativ för att hitta vägen framåt. Riskvärdering kräver rätt information vid rätt tidpunkt, och Hektar utvecklades som ett transparent och omfattande verktyg för beslutsfattande baserat på relevant data, så tidigt som möjligt. Alla byggtypologier - lameller, radhus, kvarter eller villor - kommer med distinkta regeluppsättningar som är beroende av andra aspekter av stadsstrukturen. Dessa regeluppsättningar har avkodats och införlivats i Hektar för att stödja designprocessen.;https://www.parametric.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471196/recD7pJHGw9C4tY5r.webp;https://www.ai-startups-europe.eu/p15?country%5B%5D=4000642;B2B;deep tech;Göteborg, Sweden;No
Pirr AB;Pirr är en AI-driven berättarplattform där användare skapar sina egna kärlekshistorier genom co-creation med AI. Plattformen låter användare leva berättelserna, inte bara läsa dem, genom att forma romantiska noveller precis som de vill ha dem - från slow-burn romance och heart-fluttering moments till dramatiska vändningar. Pirr är helt gratis att utforska och njuta av just nu, med möjlighet till premium features i framtiden. Användare kan anpassa karaktärer genom att välja namn, pronomen och personligheter, samt sätta ton och atmosfär genom genre, vibes, plot, plats och tema. Appen erbjuder NSFW-läge för användare över 18 år inom ramen för innehållsriktlinjer. Pirr möjliggör även samarbete där användare kan bjuda in andra att co-create berättelser. Alla berättelser är privata som standard och användare har full kontroll över synlighet. Plattformen använder robust säkerhet för att skydda integritet och all information hålls anonym. Pirr är tillgängligt via mobil-app och web browser (beta).;https://www.pirr.me/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472434/reczob340FxFuzaA7.webp;https://www.ai-startups-europe.eu/p15?country%5B%5D=4000642;B2C, enterprise software;artificial intelligence, saas;Göteborg, Sweden;No
Rebl Industries AB;Rebl Industries omformar robotautomation med sitt motto 'the future of staffing with the next generation of robotics'. Företaget erbjuder robotautomation as-a-service där kunder betalar för effekten, inte för roboten, mjukvara, säkerhetscertifiering eller projektledning. Med Rebls resultatbaserade kostnadsmodell får företag robotautomation utan större investeringar. Rebls Workmates utför jobb som anses farliga och tröttande samtidigt som de förbättrar effektivitet, kvalitet och precision. Tidigare var robotautomation endast tillgängligt för större företag, men med Rebl Industries är det nu tillgängligt för alla företag i alla industrier. Rebl fokuserar på att transformera industrier genom att göra avancerad robotik mer demokratisk och ekonomiskt åtkomlig.;https://www.rebl.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472147/recoUNsUhftoZ5hZl.webp;https://www.ai-startups-europe.eu/p16?country%5B%5D=4000642;B2B;deep tech;Göteborg, Sweden;No
Repli5;Repli5 specialiserar sig på automatiserad generering av syntetisk data och digitala tvillingar för computer vision. Företaget utvecklar precisionshanterade träningsdataset drivna av proprietär generativ AI-teknologi för automotive AD/ADAS, industriell robotik och försvarssektorer. Repli5 banbrytande generativa modeller kan användas för att skapa optimala dataset för att träna perceptionssystem, vilket möjliggör robusta computer vision-modeller i snabbare takt och till lägre kostnader. För automotive-applikationer möjliggör Repli5 träning av perceptionssystem med höga proportioner syntetisk data, särskilt för edge cases och scenarion med otillräcklig träningsdata från verkligheten, som lane keeping och automated parking. För industriell robotik kan teamet skapa syntetisk data från CAD-filer och augmentera med diffusion-baserad teknologi RealSim för att skapa högst realistiska dataset för robotikträning i Smart Factory-applikationer. Inom försvar kan Repli5 träna försvarssystem med delvis-syntetisk data där verklig träningsdata är begränsad i volym eller helt otillgänglig.;https://www.repli5.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472432/reczmVhUxjKWZaBCw.webp;https://www.ai-startups-europe.eu/p16?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence;Göteborg, Sweden;No
ANYO Labs;ANYO Labs utvecklar AI-lösningar för läkemedelsutveckling med fokus på att accelerera och förbättra drug discovery-processen. Företaget tillämpar avancerad maskininlärning och dataanalys för att identifiera nya läkemedelskandidater och optimera molekyldesign. Genom att kombinera artificiell intelligens med farmakologisk expertis strävar ANYO Labs efter att minska både tid och kostnad i den tidskrävande processen att ta fram nya läkemedel, samtidigt som träffsäkerheten i att hitta lovande substanser ökar.;https://www.anyolabs.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472229/recs6Iz0P3Vy9waNc.webp;https://www.ai-startups-europe.eu/p2?country%5B%5D=4000642;B2B, B2C, pharmaceutical, biotechnology;artificial intelligence, machine learning, deep tech;Göteborg, Sweden;No
Unbiased;Unbiased utvecklar en transparent och pålitlig träningsdataplattform för AI. Företaget fokuserar på att tillhandahålla högkvalitativa och etiskt hanterade dataset för träning av maskininlärningsmodeller. Genom att säkerställa transparens i datakällor och processer hjälper Unbiased organisationer att bygga AI-system som är mer rättvisa och tillförlitliga, samtidigt som man adresserar viktiga frågor kring bias och representation i träningsdata.;https://unbiased.ml;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471384/recJNAWJlt2N2lTe6.webp;https://www.ai-startups-europe.eu/p20?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, machine learning, saas;Göteborg, Sweden;No
Utilifeed AB;Utilifeed tillhandahåller intelligenta webbaserade tjänster för fjärrvärmebolag och fastighetsägare. Företaget kombinerar industriell expertis med modern IT-infrastruktur och dataanalys för att skapa användarvänliga men kraftfulla verktyg som möjliggör ökad resursutnyttjande, förbättrade kundrelationer och minskat miljöavtryck. Utilifeed fokuserar på att digitalisera fjärrvärmesektorn och hjälpa den att maximera sin potential att fånga spillvärme och använda den effektivt för uppvärmning av byggnader. Lösningarna bidrar till radikala besparingar för både miljö och plånbok genom ökad effektivitet, flexibilitet och sömlös integration med slutanvändaren för förbättrade kundrelationer.;https://utilifeed.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471262/recFYIJGm9u5kCJWQ.webp;https://www.ai-startups-europe.eu/p20?country%5B%5D=4000642;B2B, B2C, energy, real estate;artificial intelligence;Göteborg, Sweden;No
Viking Analytics AB;Viking Analytics bygger AI-baserade predictive maintenance-applikationer för industriella tillgångar. Företagets flaggskeppsprodukt MultiViz 2.0 använder AI för att filtrera bort falska alarm och notification fatigue genom att endast lyfta fram vad som verkligen behöver uppmärksamhet. Systemet integrerar med befintliga sensor-setups och hjälper team att skala predictive maintenance-operationer över hela anläggningar och fabriker utan att byta hårdvara eller ändra arbetsflöden. MultiViz fungerar som ett andra par ögon genom att använda AI för att flagga symtom som ovanlig modulation, stigande kurtosis och subtila harmoniska skift. Genom att lära sig vad som är 'normalt' för varje enskild sensor kan systemet detektera problem tidigt innan tröskelvärden överskrids eller kostsamma haverier inträffar. Plattformen reducerar falska alarm med 95%, lär sig hur varje tillgång beter sig utan att kräva failure history, och ger varje alert med kontext inklusive spectrum shifts och pattern deviations. Viking Analytics används av branschledare globalt och integrerar med 50+ vibrationssensorer och gateways via MQTT.;https://www.vikinganalytics.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471389/recJYNTMArauwdJZU.webp;https://www.ai-startups-europe.eu/p21?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, hardware, deep tech;Göteborg, Sweden;No
Bazaro;Bazaro tillhandahåller autonom fakturahantering genom AI som eliminerar manuella processer inom ekonomiadministration. Företagets SaaS-lösning automatiserar hela fakturacykeln från mottagning till betalning, vilket frigör tid för ekonomiteam att fokusera på strategiskt arbete istället för repetitiva uppgifter. Plattformen integreras med befintliga ERP-system och använder maskininlärning för att hantera fakturaflöden intelligent och effektivt.;https://bazaro.io/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471695/recWQQy4cPv0OnW3c.webp;https://www.ai-startups-europe.eu/p3?country%5B%5D=4000642;B2B, fintech, payments;artificial intelligence, machine learning, saas;Göteborg, Sweden;No
CELLINK;CELLINK skapar framtidens medicin genom att tillhandahålla teknologier, produkter och tjänster för att skapa, förstå och bemästra biologi. Företaget är ledande inom 3D-bioprinting och erbjuder prisbelönta 3D-bioprintrar som BIO X, BIO X6, LUMEN X och BIONOVA X tillsammans med noggrant utvald biomaterial och bioinks. CELLINK möjliggör additiv tillverkning med celler och biomaterial för att skapa organliknande strukturer där levande celler kan föröka sig. Tekniken används inom personaliserad medicin, läkemedelsutveckling, regenerativ medicin och cellodlad mat. Företagets produkter används av branschledare världen över för att accelerera forskning inom kritiska områden och revolutionera vårdsektorn genom att möjliggöra patientspecifika modeller, höggenomströmningsbiofabrikation och mer fysiologiskt relevanta modeller.;https://www.cellink.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471068/rec7WrksNpUmzraWN.webp;https://www.ai-startups-europe.eu/p3?country%5B%5D=4000642;B2B, health, pharmaceutical, biotechnology, food;deep tech;Göteborg, Sweden;No
Cetasol;Cetasol levererar datadrivna lösningar för hållbar sjöfart genom sin iHelm-plattform som kombinerar maritim expertis med avancerad teknologi. Företaget adresserar sjöfartsindustrins utmaningar kring bränsleförbrukning och utsläpp där variationer mellan olika kaptener på identiska fartyg på samma rutter kan uppgå till 25%. iHelm fungerar som beslutsstöd för flottledning, besättning, redare och lokala planerare genom att erbjuda energihantering, hastighetsoptimering och AI-driven analys. Även identiska fartyg har unika karakteristiker som skapar individuella förbättringsmöjligheter, och Cetasols teknologi hjälper rederier inte bara möta utan överträffa IMO:s strikta utsläppsregleringar. Genom att minska den mänskliga faktorn i bränsleförbrukning bidrar lösningen till både kostnadsbesparingar och minskade utsläpp.;https://cetasol.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471160/recBfTk9fmA2f1pM3.webp;https://www.ai-startups-europe.eu/p4?country%5B%5D=4000642;B2B, B2C, energy;artificial intelligence, saas;Göteborg, Sweden;No
EmbeDL;EmbeDL gör AI och deep learning betydligt mer kostnads- och energieffektivt i embedded systems genom optimerad modellkomprimering och hårdvaruaccelerator. Företagets teknologi möjliggör körning av sofistikerade neurala nätverk på resursbegränsade enheter som mikrocontrollers och edge-processorer. EmbeDL använder kvantisering, pruning och andra tekniker för att minska modellstorlek och beräkningskrav utan att förlora träffsäkerhet. Lösningen riktar sig till IoT, automotive och industriella tillämpningar där edge AI är kritiskt. Genom att optimera AI för embedded systems driver EmbeDL intelligent funktionalitet i miljöer där molnanslutning är omöjlig eller opraktisk.;https://embedl.ai;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471536/recPDAQ5SouZUvbUb.webp;https://www.ai-startups-europe.eu/p6?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, deep learning;Göteborg, Sweden;No
Eneryield;Eneryield utvecklar maskininlärningsbaserade innovationer för intelligent energianalys och kontroll av elflöden i smarta elnät. Företagets lösningar använder prediktiv analys för att optimera energidistribution, integrera förnybar energi och minska energiförluster i transmissionen. Eneryield kombinerar realtidsdata från smarta mätare med ML-modeller för att förutse belastning och automatiskt balansera nätet. Tekniken används av nätoperatörer och energibolag för att öka stabilitet och effektivitet i elnät med växande andel intermittenta energikällor. Företaget driver transformationen mot intelligenta energisystem genom datadriven näthantering.;https://www.eneryield.com;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472248/rect4d4vtu6lc6Qb9.webp;https://www.ai-startups-europe.eu/p6?country%5B%5D=4000642;B2B;machine learning;Göteborg, Sweden;No
Hypocampus AB;Hypocampus tillhandahåller en studieplattform enligt en SaaS-modell som hjälper studenter att organisera, planera och optimera sina studier. Företagets lösning kombinerar schemaläggning, anteckningar, samarbetsverktyg och produktivitetsfunktioner i en integrerad miljö. Hypocampus riktar sig till gymnasie- och universitetsstudenter som vill förbättra sina studieresultat genom bättre organisation. Plattformen använder AI för att ge personliga rekommendationer på studietider och prioriteringar. Genom att centralisera studieverktyg driver Hypocampus förbättrad akademisk prestation och minskad stress.;https://www.hypocampus.se/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4470893/rec04sjFuMITrB14N.webp;https://www.ai-startups-europe.eu/p9?country%5B%5D=4000642;B2B, enterprise software;saas;Göteborg, Sweden;No
Sand Annotation;Sand använder maskininlärning för att strukturera och automatisera kundspecifika dokument. Företaget utvecklar no-code-lösningar som gör det möjligt för användare att träna AI-modeller utan etiketter för textklassificering och dokumentbearbetning. Sand fokuserar på att göra det enkelt att extrahera information från ostrukturerade dokument och omvandla dem till strukturerad, användbar data. Lösningen är särskilt användbar för organisationer som hanterar stora volymer av varierande dokumenttyper och behöver automatisera dataextraktion och klassificering för att effektivisera administrativa processer.;https://sandannotation.com/index.html;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4472218/recrjxHpXtiyTg0Mm.webp;https://www.ai-startups-europe.eu/p17?country%5B%5D=4000642;B2B, enterprise software;artificial intelligence, machine learning;Göteborg, Sweden;No
Skoolie AB;Skoolie är en AI-driven karriärvägledningsplattform som utrustar kommuner med verktyg för att minska administrativt arbete, samtidigt som de erbjuder anpassade chatbots för utbildningsleverantörer som dirigerar kvalificerade användare till lämpliga program. Företagets digitala plattform ger elever en helhetsbild av utbildningar och yrkesbanor i Sverige för att skapa en flexibel plan för framtiden. Genom AI-chattboten får elever förslag på utbildningar och jobb som är anpassade efter deras intressen och förutsättningar. För studie- och yrkesvägledare (SYV) ger Skoolie tydlig översikt över varje elevs sparade val, intressen och meritvärden utan att hoppa mellan system. För kommuner och skolor ger plattformen en samlad bild av vilka utbildningar och yrken eleverna intresserar sig för. Skoolie är GDPR-kompatibel, säker och AI-chattboten klassificeras som 'begränsad risk' enligt EU:s AI-förordning. Plattformen används inom grundskolan, gymnasium, vuxenutbildning och av huvudmän för att optimera både student engagement och institutionell effektivitet.;https://www.skoolie.se;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471940/recgD0uMk92biQS3T.webp;https://www.ai-startups-europe.eu/p18?country%5B%5D=4000642;B2B, B2C, edtech & e-learning;artificial intelligence, saas;Gotland, Sweden;No
Gleechi Technology AB;Gleechi möjliggör enkel skapande och distribution av hands-on VR-träning genom sin VirtualGrasp-teknologi. Företagets lösning automatiserar handinteraktion i VR, vilket eliminerar behovet av manuell animering för varje grip och objekt. Gleechi använder fysikbaserad simulering och AI för att generera naturliga handgrepp och manipulationer i realtid. Tekniken används för industriell VR-träning där användare behöver lära sig hantera verktyg och utrustning i en säker virtuell miljö. Genom att göra VR-utveckling snabbare och mer tillgänglig driver Gleechi adoption av immersiv träning inom tillverkning, energi och sjukvård.;https://www.gleechi.com/;https://www.ai-startups-europe.eu/assets/images/landscape/_180x180_letterbox_center-center_90_none_ffffff_ns/4471954/recgmdIRIeyf2JdsR.webp;https://www.ai-startups-europe.eu/p8?country%5B%5D=4000642;B2B;artificial intelligence;Hägersten, Sweden;No
